UM,NGC,CONSTELLATION,MAG,VIEW,Ang. Size (Amin), Rt. Asc., Declin., TYPE, OBJECT REMARKS
UGC 1193 ,NGC 653 ,ANDROMEDA,13.4,autumn,1.5,01 42.4,+35 38,"Galaxy -  , , ,vF;pL;mE;lbM;sev 400mm_bahtinov.svg 640mm_bahtinov.svg ABR_const.map Herschel400.xls ICObjects.xls Mcat.csv NGCObjects.xls Potporri.txt Readme.txt Revhist.txt SAC_DeepSky_ver81_Excel.xls SAC_deepsky.csv SAC_deepsky_proc.csv SAC_deepsky_test.csv Sac72.txt Sac72_mod.txt Sacdoc.txt astro_select astro_select_b const_seas.map coord_conv.pl junk.dat mesr-mas.xls messier.csv messier.xlsx messier_table ngc_proc.csv ngc_proc_sprdsht.csv ngc_raw.csv ngc_raw.xlsx sac72.zip temp.map tempx tempx.bkp tmp.txt trans type.map type2.map inv , "
UGC 1220 ,NGC 662 ,ANDROMEDA,12.9,autumn,0.8,01 44.6,+37 42,"Galaxy -  , , ,F;S;R;mbM ,Peculiar "
UGC 1238 ,NGC 668 ,ANDROMEDA,13.1,autumn,1.8,01 46.4,+36 28,"Galaxy -  , , ,pF;pS;R;gbM , "
UGC 1283 ,NGC 679 ,ANDROMEDA,12.3,autumn,2.1,01 49.7,+35 47,"Galaxy -  , , ,F;stellar ,H III 175 "
UGC 1298 ,NGC 687 ,ANDROMEDA,12.3,autumn,1.4,01 50.6,+36 22,"Galaxy -  , , ,vF;stellar ,H III 561 "
ZwG 522. 30 ,NGC 700 ,ANDROMEDA,14.4,autumn,0.8,01 52.3,+36 02,"Galaxy -  , , ,eF;vS;R;sp 703 , "
UGC 1343 ,NGC 704 ,ANDROMEDA,14,autumn,0.6,01 52.6,+36 08,"Galaxy -  , , ,vF;vS;R;2nd of 4 ,H III 563;Double system;Symbiotic "
 ,Abell 262 ,ANDROMEDA,13,autumn,100.8,01 52.7,+36 09,"Galaxy clust. -  , , , ,Includes NGC 708 and 753;rather loose and irregular; 40 galaxies "
UGC 1346 ,NGC 703 ,ANDROMEDA,13.3,autumn,1.2,01 52.7,+36 10,"Galaxy -  , , ,vF;vS;R;1st of 4 ,H III 562;NGC 708 group "
UGC 1345 ,NGC 705 ,ANDROMEDA,13.6,autumn,1.2,01 52.7,+36 09,"Galaxy -  , , ,vF;vS;R;3rd of 4 ,H III 564;NGC 708 group "
UGC 1348 ,NGC 708 ,ANDROMEDA,12.7,autumn,3,01 52.8,+36 09,"Galaxy -  , , ,F;pL;bM;4th of 4 ,H III 565;Brightest in group which incl NGC 703-4-5 "
ZwG 522. 40 ,NGC 709 ,ANDROMEDA,14.3,autumn,1,01 52.8,+36 13,"Galaxy -  , , ,vF;pS;bet 2*;group sp , "
UGC 1349 ,NGC 710 ,ANDROMEDA,13.7,autumn,1.3,01 52.9,+36 03,"Galaxy -  , , ,vF;pS;2*S , "
UGC 1352 ,NGC 712 ,ANDROMEDA,12.8,autumn,1.3,01 53.1,+36 49,"Galaxy -  , , ,vF;R;am pB stars , "
UGC 1358 ,NGC 714 ,ANDROMEDA,13.1,autumn,1.5,01 53.5,+36 13,"Galaxy -  , , ,F;vS;R;2*13 p & np , "
UGC 1363 ,NGC 717 ,ANDROMEDA,13.9,autumn,1.3,01 53.9,+36 14,"Galaxy -  , , ,vF;pS;*15 sf 1' , "
UGC 1376 ,NGC 721 ,ANDROMEDA,13.5,autumn,1.7,01 54.8,+39 23,"Galaxy -  , , ,eF;pL , "
Mrk 2 ,UGC 1385 ,ANDROMEDA,13.4,autumn,0.8,01 54.9,+36 55,"Galaxy -  , , , ,brightest of 3 "
UGC 1406 ,NGC 732 ,ANDROMEDA,13.5,autumn,1.4,01 56.5,+36 48,"Galaxy -  , , ,vF*Inv vF;vS;R;neby , "
OCL 363 ,NGC 752 ,ANDROMEDA,5.7,autumn,50,01 57.7,+37 40,"Open Cluster - 60,9, CH ,Cl;vvL;Ri;*L & S;C ,H VII 32;Best in RFT or binocs;Ir scattered cl 70* mags 8... "
UGC 1437 ,NGC 753 ,ANDROMEDA,12.3,autumn,2.5,01 57.7,+35 55,"Galaxy -  , , ,pB;pL;R;gmbM ,P w NGC 759 "
UGC 1440 ,NGC 759 ,ANDROMEDA,12.7,autumn,1.8,01 57.8,+36 21,"Galaxy -  , , ,Cl;vS;R ,P w NGC 753 "
UGC 1438 ,NGC 746 ,ANDROMEDA,13,autumn,1.9,01 57.9,+44 55,"Galaxy -  , , ,vF;pS;lE;sev 400mm_bahtinov.svg 640mm_bahtinov.svg ABR_const.map Herschel400.xls ICObjects.xls Mcat.csv NGCObjects.xls Potporri.txt Readme.txt Revhist.txt SAC_DeepSky_ver81_Excel.xls SAC_deepsky.csv SAC_deepsky_proc.csv SAC_deepsky_test.csv Sac72.txt Sac72_mod.txt Sacdoc.txt astro_select astro_select_b const_seas.map coord_conv.pl junk.dat mesr-mas.xls messier.csv messier.xlsx messier_table ngc_proc.csv ngc_proc_sprdsht.csv ngc_raw.csv ngc_raw.xlsx sac72.zip temp.map tempx tempx.bkp tmp.txt trans type.map type2.map nr , "
UGC 1541 ,NGC 797 ,ANDROMEDA,12.6,autumn,1.6,02 03.5,+38 07,"Galaxy -  , , ,vF;S;iR;sbM;* nr ,H III 566;double nebula "
UGC 1550 ,NGC 801 ,ANDROMEDA,13.1,autumn,3.1,02 03.7,+38 16,"Galaxy -  , , ,eF;pS;iR;D* close f ,P w NGC 797 "
UGC 1598 ,NGC 812 ,ANDROMEDA,11.2,autumn,3,02 06.9,+44 34,"Galaxy -  , , ,eF;pL;E45;bM ,Peculiar "
UGC 1633 ,NGC 818 ,ANDROMEDA,12.5,autumn,2.9,02 08.7,+38 47,"Galaxy -  , , ,pB;cL;lE;mbM ,H II 604 "
UGC 1655 ,NGC 828 ,ANDROMEDA,12.3,autumn,2.9,02 10.2,+39 11,"Galaxy -  , , ,pB;S;iR;D* f 15'' ,H II 605;Peculiar "
UGC 1672 ,NGC 834 ,ANDROMEDA,13.1,autumn,1.1,02 11.0,+37 40,"Galaxy -  , , ,vF;S;lE ,H III 567 "
UGC 1676 ,NGC 841 ,ANDROMEDA,12.6,autumn,1.8,02 11.3,+37 30,"Galaxy -  , , ,pB;vS;mbMN=*13;14 , "
NGC 847 ,NGC 846 ,ANDROMEDA,12.1,autumn,1.9,02 12.2,+44 34,"Galaxy -  , , ,eF;vS;R;gbM , "
NGC 846 ,NGC 847 ,ANDROMEDA,13.1,autumn,1.9,02 12.2,+44 34,"Galaxy -  , , ,vF;pL;R , "
UGC 1695 ,NGC 845 ,ANDROMEDA,13.5,autumn,1.7,02 12.3,+37 29,"Galaxy -  , , ,vF;iF;stellar ,H III 604 "
UGC 1831 ,NGC 891 ,ANDROMEDA,9.9,autumn,13.1,02 22.6,+42 21,"Galaxy -  , ,BCH ,B;vL;vmE22 ,H V 19;NGC 1023 group;Lord Rosse drawing shows dark lane "
UGC 1842 ,NGC 898 ,ANDROMEDA,12.9,autumn,1.8,02 23.3,+41 57,"Galaxy -  , , ,eF;vS;lE ,H III 570 "
 ,Abell 347 ,ANDROMEDA,13,autumn,56,02 25.1,+41 52,"Galaxy clust. -  , , ,13''-2 gals F;pS;R;nBM;6 others vF;S at 165X ,0.5 degrees south preceding NGC 891; 32 galaxies "
UGC 1868 ,NGC 906 ,ANDROMEDA,12.9,autumn,1.8,02 25.3,+42 05,"Galaxy -  , , ,eF;iE , "
UGC 1872 ,NGC 909 ,ANDROMEDA,13.3,autumn,0.9,02 25.4,+42 02,"Galaxy -  , , ,vF;vS;vS* inv , "
UGC 1875 ,NGC 910 ,ANDROMEDA,12.2,autumn,2,02 25.4,+41 49,"Galaxy -  , , ,vF;pS;stellar ,H III 571 "
UGC 1878 ,NGC 911 ,ANDROMEDA,12.7,autumn,1.7,02 25.7,+41 57,"Galaxy -  , , ,eF;vS;R;bM , "
MCG 7- 6- 15 ,NGC 912 ,ANDROMEDA,15,autumn,0.9,02 25.7,+41 47,"Galaxy -  , , ,F;vS;R;bM ,very compact "
 ,NGC 913 ,ANDROMEDA,15.8,autumn,0.5,02 25.7,+41 48,"Galaxy -  , , ,eF;vS;lbM , "
