,NGC 0584,CARINA,10.5,winter,4.8,01 31 20.7,-06 52 06,"Galaxy - vB,pL,R,mbM,p of 2,I 100 "
,NGC 0586,CARINA,13.2,winter,1.8,01 31 37.0,-06 53 38,"Galaxy - vF,vS,R,III 431 "
,NGC 0596,CARINA,10.9,winter,3.8,01 32 51.9,-07 01 54,"Galaxy - pB,R,bM,R,*6f12', II 4 "
,NGC 0599,CARINA,13.7,winter,2.2,01 32 53.7,-12 11 28,"Galaxy - F,S,iF,eR,II 473 "
,NGC 0600,CARINA,12.4,winter,4.3,01 33 05.3,-07 18 43,"Galaxy - eeF,III 432 "
,NGC 0598,TRIANGULUM AUSTRALE,5.7,summer,82.2,01 33 50.9,+30 39 37,"Galaxy - eB,eL,R,vgbMN,V 17 "
,NGC 0613,SAGITTA,10.1,summer,6.9,01 34 17.5,-29 24 58,"Galaxy - vB,vL,vmE118,sbM,* nf,I 281 "
,NGC 0604,TRIANGULUM AUSTRALE,,summer,,01 34 31.9,+30 47 13,"Single star - B,vS,R,vvlBM,III 150 "
,NGC 0615,CARINA,11.6,winter,3.9,01 35 05.6,-07 20 27,"Galaxy - pB,pL,ilE,gbM,*8 np 10,II 282 "
,NGC 0624,CARINA,12.8,winter,2.0,01 35 51.0,-10 00 10,"Galaxy - eF,S,am vS st,III 471 "
,NGC 0614,TRIANGULUM AUSTRALE,12.7,summer,2.0,01 35 52.3,+33 40 55,"Galaxy - pF,psbM,stellar,III 174 "
,NGC 0622,CARINA,12.9,winter,2.2,01 36 00.1,+00 39 49,"Galaxy - eF,pL,dif,III 454 "
,NGC 0636,CARINA,11.5,winter,3.5,01 39 06.5,-07 30 46,"Galaxy - pB,vS,R,mbM,R,II 283 "
,NGC 0651,PERSEUS,10.1,autumn,,01 42 21.9,+51 34 49,"Planetary Nebula - vB,f of Dneb,I 193 "
,NGC 0660,PISCIS AUSTRINUS,11.2,autumn,8.9,01 43 01.7,+13 38 35,"Galaxy - pB,pL,E,bM,r,II 253 "
,NGC 0637,CANIS MAJOR,8.2,winter,5.7,01 43 03,+64 02.2,"Open Cluster - Cl,pS,B & vF stars,VII 49 "
,NGC 0654,CANIS MAJOR,6.5,winter,7.1,01 43 59,+61 53.0,"Open Cluster - Cl,iF,Ri,1*6.7m,VII 46 "
,NGC 0661,TRIANGULUM AUSTRALE,12.2,summer,2.2,01 44 14.6,+28 42 22,"Galaxy - F,S,R,bM,r,II 610 "
,NGC 0659,CANIS MAJOR,7.9,winter,7.1,01 44 23,+60 40.2,"Open Cluster - Cl,lRi,st B,VIII 65 "
,NGC 0665,PISCIS AUSTRINUS,12.1,autumn,2.9,01 44 56.1,+10 25 22,"Galaxy - F,S,lE,bM,r,II 588 "
,NGC 0663,CANIS MAJOR,7.1,winter,22.6,01 46 16,+61 13.1,"Open Cluster - Cl,B,L,eRi,st pL,VI 31 "
,NGC 0670,TRIANGULUM AUSTRALE,12.7,summer,2.2,01 47 24.9,+27 53 09,"Galaxy - F,S,lE,II 611 "
,NGC 0672,TRIANGULUM AUSTRALE,10.9,summer,7.7,01 47 53.9,+27 25 56,"Galaxy - F,pL,mE80,I 157 "
,NGC 0673,ARIES,12.6,autumn,2.7,01 48 22.5,+11 31 18,"Galaxy - pF,pL,E,lbM,*11 nf 3',II 589 "
,NGC 0686,FORNAX,12.4,winter,2.3,01 48 56.1,-23 47 54,"Galaxy - vF,vS,R,gbM,er,2* nr,III 459 "
,NGC 0676,PISCIS AUSTRINUS,9.6,autumn,4.2,01 48 57.3,+05 54 24,"Galaxy - vF,E161,sbM*9,IV 42 "
,NGC 0682,CARINA,12.7,winter,1.8,01 49 04.5,-14 58 29,"Galaxy - cF,S,R,gvlbM,II 501 "
,NGC 0681,CARINA,12,winter,3.1,01 49 10.7,-10 25 35,"Galaxy - pF,cL,R,glbM,S*p90'',II 481 "
,NGC 0678,ARIES,12.2,autumn,4.6,01 49 24.8,+21 59 51,"Galaxy - pB,S,iR,mbM,p of 2,II 228 "
,NGC 0679,ANDROMEDA,12.3,autumn,3.0,01 49 43.7,+35 47 08,"Galaxy - F,stellar,III 175 "
,NGC 0680,ARIES,11.9,autumn,2.5,01 49 47.3,+21 58 16,"Galaxy - pB,S,iR,mbM,f of 2,II 229 "
,NGC 0684,TRIANGULUM AUSTRALE,12.4,summer,3.3,01 50 14.0,+27 38 48,"Galaxy - F,vlE,*13f100'',II 612 "
,NGC 0693,PISCIS AUSTRINUS,12.4,autumn,2.3,01 50 30.9,+06 08 42,"Galaxy - pF,S,E90,vglbM,*10 nf,II 859 "
,NGC 0687,ANDROMEDA,12.3,autumn,2.0,01 50 33.2,+36 22 15,"Galaxy - vF,stellar,III 561 "
,NGC 0691,ARIES,11.4,autumn,4.4,01 50 41.7,+21 45 35,"Galaxy - F,cL,vglbM,II 617 "
,NGC 0701,CARINA,12.2,winter,2.8,01 51 03.7,-09 42 10,"Galaxy - F,pL,E,vgvlbM,r,I 62 "
,NGC 0695,ARIES,12.8,autumn,1.1,01 51 14.2,+22 34 57,"Galaxy - VS,stellar,II 618 "
,NGC 0697,ARIES,12,autumn,4.7,01 51 17.4,+22 21 28,"Galaxy - F,cL,E,mbM,III 179 "
,NGC 0702,CARINA,13.1,winter,1.9,01 51 19.0,-04 03 17,"Galaxy - eF,vlE 0,*13s90'',III 192 "
,NGC 0706,PISCIS AUSTRINUS,12.5,autumn,2.4,01 51 50.5,+06 17 48,"Galaxy - F,S,bM,*13n1',II 596 "
,NGC 0704,ANDROMEDA,13.1,autumn,0.8,01 52 37.7,+36 07 37,"Galaxy - vF,vS,R,2nd of 4,III 563 "
,NGC 0703,ANDROMEDA,13.3,autumn,1.5,01 52 39.6,+36 10 17,"Galaxy - vF,vS,R,1st of 4,III 562 "
,NGC 0705,ANDROMEDA,13.6,autumn,1.2,01 52 41.5,+36 08 39,"Galaxy - vF,vS,R,3rd of 4,III 564 "
,NGC 0708,ANDROMEDA,12.7,autumn,3.9,01 52 46.4,+36 09 08,"Galaxy - F,pL,bM,4th of 4,III 565 "
,NGC 0720,CARINA,10.2,winter,5.3,01 53 00.4,-13 44 20,"Galaxy - cB,pL,lE,psmbM,I 105 "
,NGC 0718,PISCIS AUSTRINUS,11.7,autumn,3.0,01 53 13.2,+04 11 45,"Galaxy - pB,S,iR,psmbM,II 270 "
,NGC 0723,CARINA,12.4,winter,2.0,01 53 45.6,-23 45 28,"Galaxy - pF,vS,R,vgbM,III 460 "
,NGC 0731,CARINA,12.1,winter,2.4,01 54 56.1,-09 00 38,"Galaxy - eF,stellar,III 266 "
,NGC 0741,PISCIS AUSTRINUS,11.1,autumn,4.2,01 56 21.0,+05 37 44,"Galaxy - pF,S,R,p of 2,II 271 "
,NGC 0748,CARINA,12.6,winter,2.5,01 56 21.7,-04 28 03,"Galaxy - pF,*9 np,III 193 "
,NGC 0755,CARINA,12.6,winter,3.6,01 56 22.5,-09 03 42,"Galaxy - vF,pS,vlE,III 265 "
,NGC 0742,PISCIS AUSTRINUS,14.3,autumn,0.3,01 56 24.1,+05 37 35,"Galaxy - vF,vS,R,sbM,f of 2,II 272 "
,NGC 0735,TRIANGULUM AUSTRALE,13.3,summer,2.0,01 56 38.0,+34 10 37,"Galaxy - eeF,stellar,III 176 "
,NGC 0736,TRIANGULUM AUSTRALE,12.1,summer,2.1,01 56 40.9,+33 02 37,"Galaxy - pB,R,bM,II 221? "
,NGC 0740,TRIANGULUM AUSTRALE,14,summer,1.6,01 56 54.9,+33 00 55,"Galaxy - F,L,cE,II 221? "
,NGC 0762,CARINA,13.5,winter,1.9,01 56 57.7,-05 24 11,"Galaxy - vF,S,lE,vglbM,III 464 "
,NGC 0750,TRIANGULUM AUSTRALE,11.9,summer,2.1,01 57 32.4,+33 12 37,"Galaxy - cB,pL,R,P w 751,25'',II 222 "
